Device type,Device ID Type,Multiple SIM Status ,S/N of Device,IMEI/ESN/MEID,Device Launch Date,Device Status,,
HandHeld,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,
HandHeld,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,
HandHeld,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,
HandHeld,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,
HandHeld,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
HandHeld,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
HandHeld,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
HandHeld,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
HandHeld,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
HandHeld,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
HandHeld,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
HandHeld,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Mobile Phone/Feature phone,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Mobile Phone/Feature phone,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Mobile Phone/Feature phone,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Mobile Phone/Feature phone,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Mobile Phone/Feature phone,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Mobile Phone/Feature phone,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Mobile Phone/Feature phone,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Mobile Phone/Feature phone,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Mobile Phone/Feature phone,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Mobile Phone/Feature phone,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Mobile Phone/Feature phone,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Mobile Phone/Feature phone,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Vehicle Portable(include PDA),IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Vehicle Portable(include PDA),IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Vehicle Portable(include PDA),IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Vehicle Portable(include PDA),IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Vehicle Portable(include PDA),ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Vehicle Portable(include PDA),ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Vehicle Portable(include PDA),ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Vehicle Portable(include PDA),ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Vehicle Portable(include PDA),MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Vehicle Portable(include PDA),MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Vehicle Portable(include PDA),MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Vehicle Portable(include PDA),MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Module,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Module,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Module,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Module,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Module,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Module,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Module,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Module,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Module,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Module,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Module,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Module,MEID,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Dongle,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Dongle,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Dongle,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Dongle,IMEI,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Dongle,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Dongle,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
Dongle,ESN,YES,D23C6498-7AEF0B5,D23C6498-7AEF0B5,05/12/2019,NEW,,,
